accident_id,accident_date,accident_time,latitude,longitude,severity,weather,light_conditions,road_type,city,state
A00001,2024-10-29,22:00,23.027559640159,72.58465821948708,3,Rainy,Sunset,Curvy Road,Ahmedabad,Gujarat
A00002,2024-02-05,20:00,26.81247661773942,80.94640409295178,2,Sunny,Daylight,Tunnel Road,Lucknow,Uttar Pradesh
A00003,2024-08-12,14:00,13.048388213780381,80.2739567911733,1,Sunny,Daylight,Highway,Chennai,Tamil Nadu
A00004,2024-08-04,07:00,18.50393825276777,73.85948534703424,2,Clear,Daylight,Highway,Pune,Maharashtra
A00005,2024-08-26,22:00,18.551838261852563,73.84663812831678,3,Cloudy,Daylight,Curvy Road,Pune,Maharashtra
A00006,2024-09-18,01:00,17.37702691240518,78.52970267259475,3,Fog,Daylight,Ring Road,Hyderabad,Telangana
A00007,2024-01-20,10:00,22.96792076214006,72.5506043951829,3,Rainy,Daylight,Tunnel Road,Ahmedabad,Gujarat
A00008,2024-07-03,10:00,22.58990514503624,88.29214835026862,3,Sunny,Daylight,Ring Road,Kolkata,West Bengal
A00009,2024-08-20,10:00,13.073458971474428,80.29408981596808,2,Cloudy,Night,Crossroad,Chennai,Tamil Nadu
A00010,2024-12-12,18:00,12.954734959202652,77.58832334378766,3,Clear,Daylight,Curvy Road,Bengaluru,Karnataka
A00011,2024-03-11,05:00,26.875369533843603,75.76952607222542,3,Clear,Daylight,Highway,Jaipur,Rajasthan
A00012,2024-02-02,01:00,19.061784819587874,72.87726643187365,3,Fog,Daylight,Crossroad,Mumbai,Maharashtra
A00013,2024-10-16,13:00,17.380544173429154,78.50879168410553,3,Fog,Daylight,Curvy Road,Hyderabad,Telangana
A00014,2024-04-11,09:00,26.84389697787249,80.95306947275184,3,Sunny,Sunset,Highway,Lucknow,Uttar Pradesh
A00015,2024-08-09,07:00,28.619956986788853,77.18566243561999,2,Clear,Daylight,Tunnel Road,Delhi,Delhi
A00016,2024-07-29,11:00,22.572050895479357,88.37581733827724,3,Cloudy,Night,Market Road,Kolkata,West Bengal
A00017,2024-09-24,12:00,18.466368267975415,73.84041978600798,2,Fog,Daylight,Curvy Road,Pune,Maharashtra
A00018,2024-02-19,08:00,13.084533468281023,80.28551855615981,3,Sunny,Night,Curvy Road,Chennai,Tamil Nadu
A00019,2024-07-08,19:00,12.981331999153637,77.58386266728857,2,Cloudy,Sunset,Ring Road,Bengaluru,Karnataka
A00020,2024-05-21,01:00,19.109028789049958,72.93645042362662,3,Cloudy,Night,Ring Road,Mumbai,Maharashtra
A00021,2024-09-23,12:00,13.162030300410512,80.22561089014815,2,Fog,Sunset,Market Road,Chennai,Tamil Nadu
A00022,2024-12-27,02:00,17.417573589748184,78.48963949460412,2,Fog,Night,Curvy Road,Hyderabad,Telangana
A00023,2024-04-16,14:00,28.60305064166943,77.26803696828784,1,Clear,Sunset,Crossroad,Delhi,Delhi
A00024,2024-11-23,01:00,22.580258201622406,88.39527690146488,3,Fog,Daylight,Market Road,Kolkata,West Bengal
